OBJECTID,ORIG_FID,x,y
136,1,117.3295059,40.660881
137,1,117.3316193,40.662014
138,1,117.335556,40.6642838
139,1,117.3406982,40.6674576
140,1,117.3461304,40.6692619
141,1,117.3515625,40.6708336
142,1,117.3569946,40.6724052
143,1,117.3654404,40.6748772
144,1,117.3717804,40.6769028
145,1,117.3763046,40.6777916
146,1,117.382019,40.6786728
147,1,117.3880539,40.679554
148,1,117.3934708,40.680439
149,1,117.3976898,40.6810989
150,1,117.4031143,40.6815262
151,1,117.4106216,40.6810226
152,1,117.4166336,40.6803017
153,1,117.4220352,40.6795769
154,1,117.4280472,40.678627
155,1,117.4349442,40.6774406
156,1,117.4403534,40.6764908
157,1,117.4448547,40.6762314
158,1,117.4514694,40.6752739
159,1,117.4580765,40.6745453
160,1,117.4655838,40.6735802
161,1,117.4718857,40.6730804
162,1,117.4767075,40.6730499
163,1,117.4809189,40.6732521
164,1,117.4894714,40.6726265
165,1,117.4972305,40.6671677
166,1,117.4962616,40.6626015
167,1,117.4959106,40.6603165
168,1,117.4958115,40.654377
169,1,117.4978256,40.6488724
170,1,117.4989777,40.6458893
171,1,117.5004272,40.6422195
172,1,117.498291,40.6404114
173,1,117.4964447,40.6385956
174,1,117.4940262,40.6377029
175,1,117.4898148,40.6372833
176,1,117.4858932,40.6373215
177,1,117.4828949,40.6378059
178,1,117.4768906,40.6383133
179,1,117.4711838,40.6392784
180,1,117.464325,40.6432228
181,1,117.4580994,40.6483078
182,1,117.4545288,40.6506233
183,1,117.4476547,40.6541138
184,1,117.4431458,40.6541481
185,1,117.4398346,40.6537247
186,1,117.4373856,40.6514587
187,1,117.4352341,40.6487312
188,1,117.4296951,40.6405487
189,1,117.4253845,40.6346436
190,1,117.4219818,40.628727
191,1,117.4200745,40.6216583
192,1,117.420311,40.6179962
193,1,117.4223328,40.6127243
194,1,117.4249802,40.6090469
195,1,117.4282227,40.6051331
196,1,117.4314804,40.6014442
197,1,117.4353256,40.5977554
198,1,117.43853,40.5908699
199,1,117.4399643,40.5862885
200,1,117.4398956,40.5819473
201,1,117.4389648,40.579895
202,1,117.4350204,40.5780983
203,1,117.4286728,40.5758667
204,1,117.4238434,40.5743103
205,1,117.4190292,40.5743484
206,1,117.4136353,40.574852
207,1,117.4085083,40.5744362
208,1,117.4021835,40.5735741
209,1,117.3958511,40.5720253
210,1,117.3904114,40.5697823
211,1,117.3840714,40.5680046
212,1,117.3792496,40.5669022
213,1,117.3750381,40.5667076
214,1,117.3711319,40.5671921
215,1,117.3684464,40.5681267
216,1,117.3657608,40.569294
217,1,117.3621674,40.570694
218,1,117.3564758,40.5723381
219,1,117.3504868,40.5732956
220,1,117.3430176,40.5765572
221,1,117.335228,40.5784454
222,1,117.3277359,40.5794144
223,1,117.3220139,40.5794563
224,1,117.3147964,40.5790558
225,1,117.3078995,40.5797958
226,1,117.3009796,40.5791588
227,1,117.2916183,40.5757904
228,1,117.2840424,40.5719604
229,1,117.2761765,40.5674477
230,1,117.2692261,40.5645256
231,1,117.2604523,40.5604706
232,1,117.2537994,40.5575447
233,1,117.2462387,40.5543976
234,1,117.2395935,40.5510101
235,1,117.2365494,40.5482903
236,1,117.2338028,40.5444221
237,1,117.2343597,40.5409927
238,1,117.2360992,40.5357208
239,1,117.2387543,40.5322762
240,1,117.2447205,40.5290375
241,1,117.2485886,40.5264931
242,1,117.2500687,40.5246582
243,1,117.2515335,40.5214462
244,1,117.2505951,40.5187111
245,1,117.2478485,40.5162125
246,1,117.2454529,40.5155411
247,1,117.2406387,40.5151176
248,1,117.2370377,40.5155983
249,1,117.2337494,40.5165367
250,1,117.229248,40.5174828
251,1,117.2223587,40.5177574
252,1,117.216629,40.5166512
253,1,117.2127228,40.5155334
254,1,117.2097092,40.5146408
255,1,117.2054596,40.5112381
256,1,117.2006073,40.5076103
257,1,117.1978607,40.5032845
258,1,117.1962967,40.4987221
259,1,117.1974487,40.4941444
260,1,117.199501,40.4904709
261,1,117.2012558,40.4870338
262,1,117.2044983,40.4824409
263,1,117.2092209,40.4753265
264,1,117.2154083,40.4663734
265,1,117.2195282,40.4599457
266,1,117.2242661,40.4553375
267,1,117.2280807,40.447773
268,1,117.2301102,40.4425011
269,1,117.2309494,40.4379234
270,1,117.2312012,40.4335823
271,1,117.2305222,40.4274139
272,1,117.2283478,40.4221725
273,1,117.2258911,40.4164734
274,1,117.2240295,40.4116821
275,1,117.2227783,40.4080315
276,1,117.2220993,40.4014091
277,1,117.22052,40.3952484
278,1,117.2186661,40.3909187
279,1,117.2174072,40.3863564
280,1,117.2179489,40.3810959
281,1,117.2176132,40.3785858
282,1,117.2184982,40.3767509
283,1,117.2199783,40.3751411
284,1,117.2235489,40.3732872
285,1,117.2277069,40.3707466
286,1,117.2327652,40.3682022
287,1,117.2369385,40.3656578
288,1,117.2383881,40.3626747
289,1,117.2389374,40.3587875
290,1,117.2386093,40.3562737
291,1,117.2388687,40.3530693
292,1,117.2397156,40.3494072
293,1,117.2429581,40.3452721
294,1,117.2465057,40.3415909
295,1,117.2497482,40.3376846
